[21/Jan/2013:15:34:57 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:59 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:17:59 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:00 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:00 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:01 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:02 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:02 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:03 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:04 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:04 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:05 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:05 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:06 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:07 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:07 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:08 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:09 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:09 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:10 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:11 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:11 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:12 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:12 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:13 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:14 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:14 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:15 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:16 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:16 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:17 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:18 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:18 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:19 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:19 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:20 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:21 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:21 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:22 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:23 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:23 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:24 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:24 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:25 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:26 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:26 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:27 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:28 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:28 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:29 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:30 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:30 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:31 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:31 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:32 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:33 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:33 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:34 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:35 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:35 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:36 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:37 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:37 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:38 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:39 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:39 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:40 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:40 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:41 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:42 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:42 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:43 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:44 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:44 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:45 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:46 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:46 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:47 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:18:47 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:34 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:35 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:36 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:37 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:38 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:39 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:40 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:40 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:41 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:42 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:42 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:43 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:44 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:44 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:45 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:46 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:47 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:47 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:48 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:49 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:49 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:50 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:51 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:51 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:52 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:53 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:53 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:54 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:55 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:55 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:56 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:57 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:57 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:58 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:27:59 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:00 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:00 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:01 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:02 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:02 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:03 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:04 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:04 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:05 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:06 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:06 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:07 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:08 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:08 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:09 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:10 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:10 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:11 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:12 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:12 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:13 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:14 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:15 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:15 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:16 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:17 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:17 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:18 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:19 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:19 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:20 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:21 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:21 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:22 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:23 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:23 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:24 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:25 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:25 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:26 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:27 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:27 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:28 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:29 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:30 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:30 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:31 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:32 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:32 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:33 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:34 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:34 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:35 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:36 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:36 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:37 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:38 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:38 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:39 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:40 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:40 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:41 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:42 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:43 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:28:43 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:43:11 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:44:07 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:44:07 -0500] Error on startup: 
bind: resource busy (Address already in use)
[21/Jan/2013:20:44:55 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:44:55 -0500] Error on startup: 
bind: resource busy (Address already in use)
[21/Jan/2013:20:47:23 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:47:25 -0500] Server.httpServe: SHUTDOWN
[21/Jan/2013:20:47:25 -0500] Server.httpServe: BACKEND STOPPED
[21/Jan/2013:20:48:45 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:52:44 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:20:52:44 -0500] Error on startup: 
bind: resource busy (Address already in use)
[21/Jan/2013:21:01:27 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:21:01:27 -0500] Error on startup: 
bind: resource busy (Address already in use)
[21/Jan/2013:21:49:19 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:21:49:19 -0500] Error on startup: 
bind: resource busy (Address already in use)
[21/Jan/2013:21:49:35 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:21:49:35 -0500] Error on startup: 
bind: resource busy (Address already in use)
[21/Jan/2013:21:49:49 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:21:49:49 -0500] Error on startup: 
bind: resource busy (Address already in use)
[21/Jan/2013:21:50:19 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:21:50:19 -0500] Error on startup: 
bind: resource busy (Address already in use)
[21/Jan/2013:22:06:22 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[21/Jan/2013:22:06:22 -0500] Error on startup: 
bind: resource busy (Address already in use)
[22/Jan/2013:06:45:58 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[22/Jan/2013:06:45:58 -0500] Error on startup: 
bind: resource busy (Address already in use)
[22/Jan/2013:06:54:04 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[22/Jan/2013:06:54:04 -0500] Error on startup: 
bind: resource busy (Address already in use)
[22/Jan/2013:06:55:20 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[22/Jan/2013:06:55:20 -0500] Error on startup: 
bind: resource busy (Address already in use)
[22/Jan/2013:10:28:27 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[22/Jan/2013:10:28:27 -0500] Error on startup: 
bind: resource busy (Address already in use)
[22/Jan/2013:11:35:57 -0500] Server.httpServe: START, binding to [http://0.0.0.0:9998/]
[22/Jan/2013:11:35:57 -0500] Error on startup: 
bind: resource busy (Address already in use)
